time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.79963621645e-08,-5.57619082764e-08,10.0045741168,6.28310648499,6.3961681156e-05,0.0,-5.5329682942e-06,-6.03301920998e-06,0.152461672296,-0.00408005466123,0.00311728058331,0.0,453.2611370121138,453.51152248715607,453.25744159062157,452.9295117831404
0.12000000000000001,-2.41818421055e-06,-2.80917427996e-06,10.0151282519,6.28282464511,0.000419622178025,0.0,-9.91754143821e-05,-0.000110508557722,0.199335363546,-0.00596143955723,0.0110272624012,0.0,419.9759194117635,420.66122383822085,419.2380490640898,419.07466001583197
0.18,-2.14573950799e-05,-1.94073358332e-05,10.0327831735,6.2824686904,0.000553577700065,0.0,-0.000596054650913,-0.000483888101352,0.389115903914,-0.00587491614078,-0.0281446964394,0.0,465.64450483319575,462.5705212321563,465.04002225744824,465.04690004470405
0.23999999999999996,-6.13997691715e-05,-6.1090201501e-05,10.055177203,6.28254877334,6.2822464174,0.0,-0.000604714513876,-0.000914378925067,0.357362579545,0.0128369157383,-0.0190275174972,0.0,392.7621047104946,393.6064330089514,392.0328346753704,393.76737394557665
0.3,-7.43384518946e-05,-0.000126138392792,10.0794188955,6.28316913019,6.2812989539,0.0,0.000278219533771,-0.00118309916648,0.450660962784,0.00480663140429,-0.00999790241272,0.0,434.9920911599159,435.74754369253304,434.8047421369913,434.1314583525571
0.36000000000000004,-1.5457463463e-05,-0.000196423744513,10.1098939574,0.000118803132051,6.28036994301,0.0,0.00176063165428,-0.00113711087764,0.565124056661,-0.00343000747354,-0.0296832973438,0.0,442.7147829521627,441.0923921697245,441.8297868914637,441.15026019274006
0.4200000000000001,0.000153255736125,-0.000262783680966,10.1464204948,0.000144556604907,6.27915136283,0.0,0.00400854315239,-0.00108296159798,0.652380449775,0.00720558780475,-0.00617096558462,0.0,431.21880032583636,433.2000608572826,433.71337928006915,434.60559069811944
0.48000000000000015,0.000475049729199,-0.000323341985982,10.1877091989,0.000534714882442,6.27843130024,0.0,0.00676737064448,-0.000895407223929,0.723866478434,0.00505826782482,-0.0274253854476,0.0,429.7817145308951,427.97680338134177,427.63480515671154,427.4517759396293
0.5400000000000001,0.000991031030582,-0.00036424207819,10.2351968811,0.000459086107495,6.27657219029,0.0,0.0106181307098,-0.000450793404406,0.858963021624,-0.0185391174333,-0.0392729601627,0.0,449.29763749178517,448.3358528461698,449.052650544609,447.134649573843
0.6000000000000002,0.00175878063297,-0.000386671676418,10.2876257201,6.28236713467,6.27433850913,0.0,0.0151833047641,-0.000405695835081,0.888640558792,-0.0274450420075,-0.0334241628645,0.0,414.34226325168777,414.85530683768945,415.3108608253711,414.52904094795105
0.6600000000000003,0.00284435237586,-0.000432240587374,10.3422643147,6.28082677173,6.27269374777,0.0,0.0211711316297,-0.00126235111251,0.932608958629,-0.0223452725244,-0.0175036523603,0.0,418.3661080993868,419.74954722630895,419.8649152335238,420.3069047160585
0.7200000000000003,0.00436018142161,-0.000568217036374,10.4036586381,6.27944720957,6.27243789047,0.0,0.0294198303324,-0.0034248061922,1.11370823844,-0.0243199111083,0.0139635007656,0.0,461.67118692318553,464.147100071522,462.8098776430157,462.6544312705366
0.7800000000000004,0.0063770484162,-0.000868998777356,10.4765737905,6.27783214244,6.27304737121,0.0,0.0377203438528,-0.00677990776309,1.3165854133,-0.0326976023186,0.00118652815888,0.0,470.23624906515323,469.24543656648024,469.90421051992234,469.25426587799865
0.8400000000000004,0.00883648884958,-0.00138561070173,10.5573044676,6.27666492476,6.27325555814,0.0,0.0442465386788,-0.0105820052501,1.37436843807,-0.00122324757334,0.00768466697751,0.0,424.9017592415245,425.4583635874071,423.5833464791816,426.2810543522407
0.9000000000000005,0.0116973132631,-0.00215698750065,10.6430421538,6.27689053914,6.27373699661,0.0,0.0510641491502,-0.0151202605346,1.48341949618,0.0122214361659,0.00869411169243,0.0,441.34965217435473,441.4328346216598,441.36028000111247,442.4683623042595
0.9600000000000005,0.0149804250122,-0.00320899075846,10.7378827696,6.27733256529,6.27457671199,0.0,0.0582894667417,-0.0198739856809,1.67767086017,-0.00473917615393,0.0229126057012,0.0,466.7928828439071,467.90091410206503,469.2876664421638,467.9693426192567
1.0200000000000005,0.0186661816551,-0.00453472757126,10.8434655753,6.27710821701,6.27548238576,0.0,0.0644303125694,-0.0243440535222,1.84150749751,-0.00181042209158,-0.00905987805575,0.0,460.8174062794409,458.28322290033515,459.18841918243095,459.42074842103204
1.0800000000000005,0.0227112974102,-0.00613570898876,10.9592973988,6.27674297633,6.27502280568,0.0,0.0704612593173,-0.0290450627909,2.01925576467,-0.0164202716053,-0.00499675030767,0.0,463.72750480545915,464.0466567354754,464.9824280015408,463.8366505090616
1.1400000000000006,0.0271087018565,-0.00801503828396,11.0835095718,6.27625948104,6.27507307298,0.0,0.0761279955702,-0.0336692718843,2.12096601889,0.00488373588769,0.0105050340388,0.0,440.32736731069866,441.60784506802145,440.9811568111853,442.73744643004795
1.2000000000000006,0.0318670396206,-0.0101991741375,11.2170442404,6.27693767457,6.27612854513,0.0,0.0823770379359,-0.0390724180661,2.32978925884,0.0217669011058,0.0289329936654,0.0,472.94792018161354,474.3649774769292,474.4279855164343,475.7223356893156
